provincia_id,provincia_nombre,sexo,edad_quinquenal,pais_nacimiento,nacionalidad,cantidad
2,Ciudad Autonoma de Buenos Aires,F,0 a 4,ARGENTINA,ARGENTINA,51482
2,Ciudad Autonoma de Buenos Aires,F,0 a 4,OTRO PAIS,ARGENTINA,470
2,Ciudad Autonoma de Buenos Aires,F,0 a 4,OTRO PAIS,EXTRANJERA,815
2,Ciudad Autonoma de Buenos Aires,F,10 a 14,ARGENTINA,ARGENTINA,86991
2,Ciudad Autonoma de Buenos Aires,F,10 a 14,OTRO PAIS,ARGENTINA,754
2,Ciudad Autonoma de Buenos Aires,F,10 a 14,OTRO PAIS,EXTRANJERA,6164
2,Ciudad Autonoma de Buenos Aires,F,100 y +,ARGENTINA,ARGENTINA,796
2,Ciudad Autonoma de Buenos Aires,F,100 y +,OTRO PAIS,ARGENTINA,40
2,Ciudad Autonoma de Buenos Aires,F,100 y +,OTRO PAIS,EXTRANJERA,154
2,Ciudad Autonoma de Buenos Aires,F,15 a 19,ARGENTINA,ARGENTINA,84953
2,Ciudad Autonoma de Buenos Aires,F,15 a 19,OTRO PAIS,ARGENTINA,951
2,Ciudad Autonoma de Buenos Aires,F,15 a 19,OTRO PAIS,EXTRANJERA,9133
2,Ciudad Autonoma de Buenos Aires,F,20 a 24,ARGENTINA,ARGENTINA,85454
2,Ciudad Autonoma de Buenos Aires,F,20 a 24,OTRO PAIS,ARGENTINA,1233
2,Ciudad Autonoma de Buenos Aires,F,20 a 24,OTRO PAIS,EXTRANJERA,21038
2,Ciudad Autonoma de Buenos Aires,F,25 a 29,ARGENTINA,ARGENTINA,88293
2,Ciudad Autonoma de Buenos Aires,F,25 a 29,OTRO PAIS,ARGENTINA,1363
2,Ciudad Autonoma de Buenos Aires,F,25 a 29,OTRO PAIS,EXTRANJERA,27400
2,Ciudad Autonoma de Buenos Aires,F,30 a 34,ARGENTINA,ARGENTINA,89917
2,Ciudad Autonoma de Buenos Aires,F,30 a 34,OTRO PAIS,ARGENTINA,2756
2,Ciudad Autonoma de Buenos Aires,F,30 a 34,OTRO PAIS,EXTRANJERA,35682
2,Ciudad Autonoma de Buenos Aires,F,35 a 39,ARGENTINA,ARGENTINA,96876
2,Ciudad Autonoma de Buenos Aires,F,35 a 39,OTRO PAIS,ARGENTINA,3244
2,Ciudad Autonoma de Buenos Aires,F,35 a 39,OTRO PAIS,EXTRANJERA,36299
2,Ciudad Autonoma de Buenos Aires,F,40 a 44,ARGENTINA,ARGENTINA,98598
2,Ciudad Autonoma de Buenos Aires,F,40 a 44,OTRO PAIS,ARGENTINA,2558
2,Ciudad Autonoma de Buenos Aires,F,40 a 44,OTRO PAIS,EXTRANJERA,30317
2,Ciudad Autonoma de Buenos Aires,F,45 a 49,ARGENTINA,ARGENTINA,104666
2,Ciudad Autonoma de Buenos Aires,F,45 a 49,OTRO PAIS,ARGENTINA,2145
2,Ciudad Autonoma de Buenos Aires,F,45 a 49,OTRO PAIS,EXTRANJERA,24552
2,Ciudad Autonoma de Buenos Aires,F,5 a 9,ARGENTINA,ARGENTINA,70646
2,Ciudad Autonoma de Buenos Aires,F,5 a 9,OTRO PAIS,ARGENTINA,602
2,Ciudad Autonoma de Buenos Aires,F,5 a 9,OTRO PAIS,EXTRANJERA,3004
2,Ciudad Autonoma de Buenos Aires,F,50 a 54,ARGENTINA,ARGENTINA,99000
2,Ciudad Autonoma de Buenos Aires,F,50 a 54,OTRO PAIS,ARGENTINA,1725
2,Ciudad Autonoma de Buenos Aires,F,50 a 54,OTRO PAIS,EXTRANJERA,21423
2,Ciudad Autonoma de Buenos Aires,F,55 a 59,ARGENTINA,ARGENTINA,84724
2,Ciudad Autonoma de Buenos Aires,F,55 a 59,OTRO PAIS,ARGENTINA,1762
2,Ciudad Autonoma de Buenos Aires,F,55 a 59,OTRO PAIS,EXTRANJERA,20023
2,Ciudad Autonoma de Buenos Aires,F,60 a 64,ARGENTINA,ARGENTINA,80797
2,Ciudad Autonoma de Buenos Aires,F,60 a 64,OTRO PAIS,ARGENTINA,1779
2,Ciudad Autonoma de Buenos Aires,F,60 a 64,OTRO PAIS,EXTRANJERA,16950
2,Ciudad Autonoma de Buenos Aires,F,65 a 69,ARGENTINA,ARGENTINA,79113
2,Ciudad Autonoma de Buenos Aires,F,65 a 69,OTRO PAIS,ARGENTINA,1586
2,Ciudad Autonoma de Buenos Aires,F,65 a 69,OTRO PAIS,EXTRANJERA,13135
2,Ciudad Autonoma de Buenos Aires,F,70 a 74,ARGENTINA,ARGENTINA,73683
2,Ciudad Autonoma de Buenos Aires,F,70 a 74,OTRO PAIS,ARGENTINA,1473
2,Ciudad Autonoma de Buenos Aires,F,70 a 74,OTRO PAIS,EXTRANJERA,10115
2,Ciudad Autonoma de Buenos Aires,F,75 a 79,ARGENTINA,ARGENTINA,62311
2,Ciudad Autonoma de Buenos Aires,F,75 a 79,OTRO PAIS,ARGENTINA,1846
2,Ciudad Autonoma de Buenos Aires,F,75 a 79,OTRO PAIS,EXTRANJERA,8935
2,Ciudad Autonoma de Buenos Aires,F,80 a 84,ARGENTINA,ARGENTINA,49107
2,Ciudad Autonoma de Buenos Aires,F,80 a 84,OTRO PAIS,ARGENTINA,1347
2,Ciudad Autonoma de Buenos Aires,F,80 a 84,OTRO PAIS,EXTRANJERA,6199
2,Ciudad Autonoma de Buenos Aires,F,85 a 89,ARGENTINA,ARGENTINA,30279
2,Ciudad Autonoma de Buenos Aires,F,85 a 89,OTRO PAIS,ARGENTINA,715
2,Ciudad Autonoma de Buenos Aires,F,85 a 89,OTRO PAIS,EXTRANJERA,3757
2,Ciudad Autonoma de Buenos Aires,F,90 a 94,ARGENTINA,ARGENTINA,15291
2,Ciudad Autonoma de Buenos Aires,F,90 a 94,OTRO PAIS,ARGENTINA,386
2,Ciudad Autonoma de Buenos Aires,F,90 a 94,OTRO PAIS,EXTRANJERA,2060
2,Ciudad Autonoma de Buenos Aires,F,95 a 99,ARGENTINA,ARGENTINA,5339
2,Ciudad Autonoma de Buenos Aires,F,95 a 99,OTRO PAIS,ARGENTINA,180
2,Ciudad Autonoma de Buenos Aires,F,95 a 99,OTRO PAIS,EXTRANJERA,911
2,Ciudad Autonoma de Buenos Aires,M,0 a 4,ARGENTINA,ARGENTINA,54072
2,Ciudad Autonoma de Buenos Aires,M,0 a 4,OTRO PAIS,ARGENTINA,561
2,Ciudad Autonoma de Buenos Aires,M,0 a 4,OTRO PAIS,EXTRANJERA,828
2,Ciudad Autonoma de Buenos Aires,M,10 a 14,ARGENTINA,ARGENTINA,90091
2,Ciudad Autonoma de Buenos Aires,M,10 a 14,OTRO PAIS,ARGENTINA,794
2,Ciudad Autonoma de Buenos Aires,M,10 a 14,OTRO PAIS,EXTRANJERA,6512
2,Ciudad Autonoma de Buenos Aires,M,100 y +,ARGENTINA,ARGENTINA,169
2,Ciudad Autonoma de Buenos Aires,M,100 y +,OTRO PAIS,ARGENTINA,16
2,Ciudad Autonoma de Buenos Aires,M,100 y +,OTRO PAIS,EXTRANJERA,51
2,Ciudad Autonoma de Buenos Aires,M,15 a 19,ARGENTINA,ARGENTINA,88658
2,Ciudad Autonoma de Buenos Aires,M,15 a 19,OTRO PAIS,ARGENTINA,966
2,Ciudad Autonoma de Buenos Aires,M,15 a 19,OTRO PAIS,EXTRANJERA,8903
2,Ciudad Autonoma de Buenos Aires,M,20 a 24,ARGENTINA,ARGENTINA,85571
2,Ciudad Autonoma de Buenos Aires,M,20 a 24,OTRO PAIS,ARGENTINA,1209
